(138, 135)
(212, 154)
(277, 140)
(331, 126)
(387, 140)
(455, 140)
(522, 121)
(591, 152)
(645, 141)
(716, 72)
(764, 58)
(855, 107)
(911, 81)
(978, 115)
(1044, 140)
(1112, 110)
(1182, 84)
(1138, 184)
(1060, 172)
(992, 175)
(933, 162)
(881, 173)
(810, 132)
(754, 121)
(685, 128)
(623, 122)
(541, 135)
(479, 138)
(422, 126)
(358, 127)
(301, 201)
(241, 119)
(175, 103)
(106, 187)
(193, 205)
(238, 168)
(315, 167)
(385, 199)
(458, 194)
(526, 207)
(596, 205)
(671, 220)
(740, 197)
(663, 229)
(597, 206)
(538, 209)
(472, 190)
(414, 234)
(358, 238)
(290, 224)
(119, 212)
(97, 262)
(104, 301)
(189, 278)
(232, 274)
(287, 289)
(352, 330)
(414, 335)
(485, 324)
(548, 314)
(605, 341)
(671, 337)
(723, 330)
(795, 272)
(833, 274)
(919, 316)
(973, 305)
(1023, 245)
(978, 184)
(974, 239)
(958, 294)
(935, 196)
(924, 158)
(914, 203)
(945, 258)
(880, 274)
(893, 220)
(830, 156)
(868, 210)
(890, 279)
(843, 245)
(784, 181)
(815, 219)
(825, 256)
(749, 284)
(777, 231)
(687, 239)
(722, 278)
(664, 308)
(600, 309)
(533, 292)
(482, 297)
(428, 302)
(347, 294)
(304, 285)
(227, 289)
(193, 282)
(163, 232)
(152, 327)
(67, 282)
(124, 244)
(185, 237)
(254, 198)
(333, 202)
(378, 199)
(445, 246)
(494, 272)
(556, 276)
(621, 258)
(700, 274)
(762, 202)
(794, 141)
(846, 128)
(928, 184)
(990, 155)
(1025, 230)
(978, 318)
(1061, 247)
(1050, 199)
(1067, 166)
(1094, 238)
(1028, 286)
(1068, 349)
(1089, 257)
(1102, 197)
(1115, 141)
(1139, 215)
(1112, 269)
(1128, 361)
(1179, 282)
(1164, 210)
(1185, 165)
(1191, 254)
(1195, 324)
(1105, 356)
(1045, 317)
(962, 311)
(909, 326)
(836, 309)
(781, 316)
(705, 299)
(642, 300)
(574, 321)
(524, 349)
(452, 349)
(387, 343)
(325, 323)
(258, 300)
(197, 310)
(142, 353)
(153, 419)
(215, 409)
(273, 401)
(339, 373)
(414, 341)
(477, 378)
(547, 389)
(620, 408)
(689, 401)
(752, 356)
(819, 345)
(894, 363)
(958, 382)
(1026, 404)
(1096, 404)
(1176, 361)
(1138, 375)
(1081, 400)
(1029, 461)
(1105, 552)
(1022, 557)
(949, 555)
(885, 552)
(816, 545)
(756, 562)
(684, 492)
(621, 502)
(559, 473)
(479, 483)
(440, 525)
(372, 557)
(316, 544)
(237, 524)
(160, 502)
(133, 418)
(193, 355)
(251, 343)
(337, 329)
(399, 374)
(462, 363)
(535, 380)
(608, 382)
(672, 376)
(741, 370)
(812, 379)
(871, 377)
(940, 378)
(1002, 382)
(1068, 375)
(1108, 385)
(1172, 413)
(1124, 380)
(1069, 408)
(991, 401)
(912, 394)
(851, 402)
(783, 384)
(724, 372)
(644, 375)
(585, 382)
(516, 406)
(451, 386)
(381, 391)
(313, 377)
(253, 377)
(173, 396)
(129, 420)
(72, 476)
(167, 489)
(217, 461)
(269, 413)
(345, 449)
(409, 424)
(485, 412)
(555, 396)
(619, 438)
(691, 427)
(755, 434)
(838, 440)
(901, 407)
(976, 454)
(1027, 448)
(1117, 430)
(1173, 462)
(1167, 563)
(1097, 512)
(1052, 500)
(985, 494)
(908, 453)
(847, 448)
(781, 440)
(704, 443)
(645, 441)
(570, 443)
(494, 435)
(437, 440)
(370, 439)
(303, 443)
(253, 470)
(183, 421)
(147, 597)
(214, 613)
(257, 614)
(345, 635)
(392, 635)
(451, 582)
(509, 629)
(578, 623)
(624, 616)
(709, 632)
(741, 634)
(819, 610)
(885, 619)
(956, 626)
(1011, 612)
(1060, 570)
(1115, 626)
(1193, 524)
(1120, 541)
(1053, 573)
(990, 525)
(914, 529)
(873, 532)
(786, 572)
(1275, 673)
(662, 589)
(606, 559)
(525, 586)
(482, 580)
(404, 583)
(373, 587)
(294, 529)
(241, 545)
(179, 584)
(90, 561)
(186, 557)
(236, 551)
(287, 493)
(359, 480)
(395, 488)
(472, 480)
(554, 541)
(572, 554)
(659, 516)
(699, 525)
(772, 478)
(822, 467)
(884, 480)
(937, 477)
(967, 506)
